uplift_vs_no_verify,ssim_score,age_only_regret,state_accuracy,seed,adaptive_threshold,n_repair,claim,ssim_corrupt,label,recall,mse_score,declared_ablation_count,mse_baseline_auc,fnr_at_threshold,n_protected,effective_capacity_gain_vs_single_channel,ssim_delta,triple_regret,ssim_no_verify,modeled_ablation_count,trial,retained_value_triple,min_success_rate,ssim_vs_mse_auc_delta,crosstalk,f1,precision,ssim_pipeline,sigma,retained_value_random,total,n_nodes,ber_at_sigma_0p05,uplift_vs_modeled_ablations,all_ablations_modeled,regret_ratio_vs_age_only,n_trials,retained_value_vs_random,ssim_no_correct,n_bleach,uplift_vs_no_correction_write,state_accuracy_at_sigma_0p05,corrupt_size,roc_auc,errors,ber
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.08,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,,,,,c2_sim2_oomphlap,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,
,,15.674312,,42,,19,c3_sim3_consolicant,,,1.0,,,,,227,,,8.662457,,,,2.068642,,,,1.0,1.0,,,1.81131,,300,,,,0.552653,,1.14207,,54,,,,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,0,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,25,,,
0.0,,,,,,,c4_sim4_pipeline,0.933302,,,,,,,,,,,0.933302,,1,,,,,,,0.933302,,,,,,,,,,,0.933302,,0.0,,50,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,2,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,60,,,
0.0,,,,,,,c4_sim4_pipeline,0.2864,,,,,,,,,,,0.2864,,3,,,,,,,0.2864,,,,,,,,,,,0.2864,,0.0,,75,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,4,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,50,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,5,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,25,,,
0.0,,,,,,,c4_sim4_pipeline,0.947998,,,,,,,,,,,0.947998,,6,,,,,,,0.947998,,,,,,,,,,,0.947998,,0.0,,27,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,7,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,22,,,
0.0,,,,,,,c4_sim4_pipeline,0.999984,,,,,,,,,,,0.999984,,8,,,,,,,0.999984,,,,,,,,,,,0.999984,,0.0,,66,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,9,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,43,,,
