avg_correction_boundary_rewrite_fraction,avg_hologram_damage_cluster_count,avg_second_pass_recovery_delta,hologram_damage_fraction,no_verify_success,oomphlap_retry_success_rate_given_attempt,phase_noise_success_rate,pipeline_failure_rate,avg_correction_rewrite_coverage_fraction,avg_failed_oomphlap_retry_draw_minus_success_rate,oomphlap_verify_flag,n_trials,uplift_vs_no_consolidate_bleach,pipeline_success,avg_correction_rewrite_fraction,avg_oomphlap_initial_bit_error_count,trial,avg_failed_hologram_threshold_gap_after_recovery,graph_critical_ratio_no_consolidate_bleach,failure_count_critical_node_backlog,correction_second_pass_recovery_delta,correction_best_stage,no_correction_write_success,ssim_no_correction_write,hologram_diff_count,hologram_missing_count,hologram_mode,correction_rewrite_coverage_fraction,avg_hologram_missing_count,hologram_threshold_crossed_after_recovery,correction_rewrite_applied,avg_hologram_missing_to_diff_ratio,oomphlap_verify_rate,avg_correction_boundary_rewrite_capture_rate,avg_correction_interior_selected_count,avg_oomphlap_min_threshold_distance,failure_count_multi_stage,oomphlap_verify_trigger_margin,avg_hologram_threshold_gap_before_recovery,correction_focus_strength,correction_interior_candidate_count,correction_total_recovery_delta,hologram_missing_to_diff_ratio,phase_noise_threshold_crossing_rate,ssim_no_consolidate_bleach,correction_attempts_used,distributed_dropout_recovery_delta,correction_interior_rewrite_fraction,failure_reason_no_correction_write,avg_hologram_diff_count,correction_boundary_selected_count,avg_correction_boundary_rewrite_coverage_fraction,avg_rewrite_recovery_delta,avg_hologram_threshold_gap_after_recovery,corrupt_size,hologram_largest_cluster_share,avg_hologram_damage_fraction,hologram_severity_score,declared_ablation_count,correction_boundary_rewrite_capture_rate,avg_correction_focus_strength,oomphlap_retry_attempted,no_consolidate_bleach_success_rate,correction_boundary_rewrite_coverage_fraction,avg_hologram_largest_cluster_bbox_fraction,avg_correction_interior_rewrite_fraction,avg_first_pass_recovery_delta,ssim_pipeline,avg_hologram_focus_boundary_share,hologram_largest_cluster_bbox_fraction,oomphlap_retry_succeeded,modeled_ablation_count,correction_boundary_rewrite_fraction,failure_reason_no_consolidate_bleach,avg_hologram_geometry_score,no_correction_write_success_rate,distributed_dropout_threshold_crossing_rate,block_dropout_success_rate,second_pass_usage_rate,correction_interior_rewrite_coverage_fraction,failure_count_repair_backlog,avg_total_recovery_delta,avg_oomphlap_retry_draw_minus_success_rate,block_dropout_recovery_delta,correction_interior_rewrite_capture_rate,all_ablations_modeled,correction_rewrite_recovery_delta,avg_hologram_largest_cluster_share,oomphlap_min_threshold_distance,avg_oomphlap_final_bit_error_count,avg_correction_attempts_used,threshold_crossing_recovery_rate,avg_hologram_focus_interior_share,distributed_dropout_success_rate,oomphlap_verify_margin_trigger_rate,focus_source_missing_rate,no_consolidate_bleach_success,correction_first_pass_recovery_delta,hologram_focus_interior_share,failure_count_partial_hologram_correction_failure,failure_count_oomphlap_retry_failed,uplift_vs_no_verify,uplift_vs_modeled_ablations,ssim_no_verify,phase_noise_recovery_delta,oomphlap_retry_attempt_rate,scenario_seed,min_success_rate,full_success_rate,hologram_damage_cluster_count,oomphlap_initial_bit_error_count,correction_rewrite_fraction,hologram_missing_fraction,hologram_geometry_score,hologram_threshold_gap_closed_fraction,uplift_vs_no_correction_write,claim,avg_correction_interior_rewrite_capture_rate,avg_correction_interior_candidate_count,failure_detail_full,oomphlap_retry_draw_minus_success_rate,avg_hologram_threshold_gap_closed_fraction,rewrite_usage_rate,avg_correction_boundary_selected_count,avg_correction_interior_rewrite_coverage_fraction,oomphlap_verify_channel_failure_trigger_rate,avg_hologram_severity_score,avg_correction_boundary_candidate_count,avg_hologram_largest_cluster_fill_ratio,failure_count_verify_missed_hologram,hologram_threshold_gap_before_recovery,correction_used_second_pass,correction_interior_selected_count,failure_reason_full,hologram_focus_boundary_share,block_dropout_threshold_crossing_rate,oomphlap_verify_trigger_channel_failure,avg_hologram_missing_fraction,hologram_largest_cluster_fill_ratio,hologram_focus_source,hologram_threshold_gap_after_recovery,correction_boundary_candidate_count,oomphlap_final_bit_error_count,failure_count_verify_missed_oomphlap,no_verify_success_rate,graph_critical_ratio_pipeline,failure_reason_no_verify
,,,0.003784,1,,,,,,1,,1.0,1,,,10,,0.093333,,0.0,pre,1,0.999993,62,0,phase_noise,0.0,,0,0,,,,,,,0,,0.043958,0,0.0,0.0,,0.999993,0,,0.226561,none,,0,,,,26,0.5,,0.013452,,0.0,,0,,0.0,,,,0.999993,,0.007324,0,,0.059703,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.124206,,,,,,,,0,0.0,0.666667,,,0.0,,0.999993,,,52,,,11,0,0.121286,0.0,0.439583,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.333333,,1,,0.258333,diff_mask,0.0,0,0,,,0.0,none
,,,0.012634,0,,,,,,1,,1.0,1,,,11,,0.106667,,0.0,pre,0,0.999486,207,0,phase_noise,0.0,,0,0,,,,,,,1,,0.074717,0,0.0,0.0,,0.999486,0,,0.253995,correction_write_disabled_oomphlap,,0,,,,41,0.855072,,0.023312,,0.0,,1,,0.0,,,,0.999486,,0.025513,1,,0.061602,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.043213,,,,,,,,0,0.0,0.813397,,,1.0,,0.999486,,,53,,,28,1,0.145029,0.0,0.747166,0.0,1.0,c4_sim4_pipeline,,,none,-0.067165,,,,,,,,,,0.0,0,0,none,0.186603,,0,,0.423445,diff_mask,0.0,0,0,,,0.0,verify_disabled_oomphlap
,,,0.018433,0,,,,,,0,,1.0,1,,,12,,0.126667,,0.0,rewrite,0,0.153067,302,1,block_dropout,1.0,,1,1,,,,,,,0,,0.74993,260,0.846932,0.003311,,1.0,1,,1.0,correction_write_disabled_hologram,,42,,,,28,0.92053,,0.17088,,1.0,,0,,0.139073,,,,1.0,,0.042847,0,,0.343356,graph_maintenance_disabled,,,,,,0.860927,,,,,1.0,,0.706946,,0.056016,,,,,,,,0,0.139987,0.854701,,,1.0,,0.153067,,,54,,,12,0,0.564146,6.1e-05,0.7894,1.0,1.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.796933,0,260,none,0.145299,,0,,0.396011,diff_mask,0.0,42,0,,,0.0,verify_disabled_hologram
,,,0.006042,1,,,,,,1,,1.0,1,,,13,,0.133333,,0.0,pre,1,0.999957,99,0,phase_noise,0.0,,0,0,,,,,,,0,,0.073461,0,0.0,0.0,,0.999957,0,,0.252732,none,,0,,,,42,0.878788,,0.022521,,0.0,,0,,0.0,,,,0.999957,,0.017578,0,,0.061513,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.173704,,,,,,,,0,0.0,0.777778,,,0.0,,0.999957,,,55,,,11,0,0.143917,0.0,0.734612,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.222222,,1,,0.302083,diff_mask,0.0,0,0,,,0.0,none
,,,0.002808,0,,,,,,1,,0.0,0,,,14,,0.146667,,0.0,pre,0,0.985436,46,0,distributed_dropout,0.0,,0,0,,,,,,,0,,0.178533,0,0.0,0.0,,0.985436,0,,0.358491,correction_write_disabled_oomphlap,,0,,,,31,0.195652,,0.032288,,0.0,,1,,0.0,,,,0.985436,,0.000549,0,,0.101382,multi_stage_failure,,,,,,0.0,,,,,0.0,,0.0,,0.062957,,,,,,,,0,0.0,0.111111,,,0.0,,0.985436,,,56,,,21,1,0.183508,0.0,0.396739,0.0,0.0,c4_sim4_pipeline,,,oomphlap_retry_failed,0.267364,,,,,,,,,,0.0,0,0,oomphlap_retry_failed,0.888889,,1,,1.0,diff_mask,0.0,0,1,,,0.0,verify_disabled_oomphlap
,,,0.038452,0,,,,,,1,,1.0,1,,,15,,0.166667,,0.0,rewrite,0,0.266069,630,1,block_dropout,0.892063,,1,1,,,,,,,0,,0.705271,513,0.733928,0.001587,,0.999997,1,,1.0,multi_stage_failure,,49,,,,45,0.84127,,0.169008,,1.0,,1,,0.077778,,,,0.999997,,0.072571,1,,0.322345,graph_maintenance_disabled,,,,,,0.814286,,,,,1.0,,0.733928,,0.123637,,,,,,,,0,0.0,0.885618,,,1.0,,0.266069,,,57,,,44,1,0.523741,6.1e-05,0.742391,1.0,1.0,c4_sim4_pipeline,,,none,-0.051256,,,,,,,,,,0.683931,0,513,none,0.114382,,1,,0.445753,diff_mask,0.0,49,0,,,0.0,multi_stage_failure
,,,0.004333,1,,,,,,1,,1.0,1,,,16,,0.106667,,0.0,pre,1,0.995769,71,0,distributed_dropout,0.0,,0,0,,,,,,,0,,0.188556,0,0.0,0.0,,0.995769,0,,0.369007,none,,0,,,,37,0.225352,,0.034293,,0.0,,0,,0.0,,,,0.995769,,0.000977,0,,0.103148,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.121477,,,,,,,,0,0.0,0.25,,,0.0,,0.995769,,,58,,,34,0,0.189813,0.0,0.419014,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,0.75,,1,,1.0,diff_mask,0.0,0,0,,,0.0,none
,,,0.007629,0,,,,,,1,,0.0,0,,,17,,0.18,,0.0,pre,0,0.999948,125,0,phase_noise,0.0,,0,0,,,,,,,0,,0.076519,0,0.0,0.0,,0.999948,0,,0.255828,correction_write_disabled_oomphlap,,0,,,,43,0.904,,0.02354,,0.0,,1,,0.0,,,,0.999948,,0.019775,0,,0.061732,multi_stage_failure,,,,,,0.0,,,,,0.0,,0.0,,0.141855,,,,,,,,0,0.0,0.790123,,,0.0,,0.999948,,,59,,,10,1,0.146646,0.0,0.765191,0.0,0.0,c4_sim4_pipeline,,,oomphlap_retry_failed,0.248361,,,,,,,,,,0.0,0,0,oomphlap_retry_failed,0.209877,,1,,0.348765,diff_mask,0.0,0,1,,,0.0,verify_disabled_oomphlap
,,,0.002686,1,,,,,,1,,1.0,1,,,18,,0.193333,,0.0,pre,1,0.999999,44,0,block_dropout,0.0,,0,0,,,,,,,0,,0.367045,0,0.0,0.0,,0.999999,0,,0.700558,none,,0,,,,31,0.181818,,0.078129,,0.0,,0,,0.0,,,,0.999999,,0.000488,0,,0.190513,graph_maintenance_disabled,,,,,,0.0,,,,,0.0,,0.0,,0.150612,,,,,,,,0,0.0,0.0,,,0.0,,0.999999,,,60,,,18,0,0.270217,0.0,0.386364,0.0,0.0,c4_sim4_pipeline,,,none,0.0,,,,,,,,,,0.0,0,0,none,1.0,,1,,1.0,diff_mask,0.0,0,0,,,0.0,none
,,,0.006958,0,,,,,,1,,0.0,0,,,19,,0.146667,,0.0,pre,0,0.999978,114,0,distributed_dropout,0.0,,0,0,,,,,,,0,,0.134289,0,0.0,0.0,,0.999978,0,,0.314132,correction_write_disabled_oomphlap,,0,,,,43,0.157895,,0.025051,,0.0,,1,,0.0,,,,0.999978,,0.001526,0,,0.094164,multi_stage_failure,,,,,,0.0,,,,,0.0,,0.0,,0.145168,,,,,,,,0,0.0,0.36,,,0.0,,0.999978,,,61,,,34,1,0.15773,0.0,0.298421,0.0,0.0,c4_sim4_pipeline,,,oomphlap_retry_failed,0.191692,,,,,,,,,,0.0,0,0,oomphlap_retry_failed,0.64,,1,,0.72,diff_mask,0.0,0,1,,,0.0,verify_disabled_oomphlap
0.158277,26.45,0.007801,,,0.555556,0.857143,0.3,0.251802,0.181292,,20,0.7,,0.27524,0.45,,0.408243,,0,,,,,,,,,0.3,,,0.000891,0.9,0.3,121.5,0.124574,1,,0.238285,,,,,0.0,,,0.095356,,,234.65,,0.029498,0.152482,0.061237,,,0.014322,,3,,0.305723,,0.0,,0.024176,0.522676,0.024265,,0.398843,,,3,,,0.606079,0.45,0.0,0.714286,0.15,,0,0.184548,0.002088,0.445547,,1.0,,0.604194,,0.2,0.45,0.15,0.601157,0.5,0.1,0.0,,,,2,3,0.25,0.25,,0.0,0.45,,0.7,0.7,,,,,,,0.25,c4_sim4_pipeline,0.3,121.5,,,0.223325,0.3,12.25,0.222304,0.85,0.070737,12.25,0.611735,0,,,,,,0.428571,,1.8e-05,,,,,,0,0.45,,
