hologram_largest_cluster_fill_ratio,correction_interior_rewrite_capture_rate,avg_hologram_damage_cluster_count,avg_failed_hologram_threshold_gap_after_recovery,correction_interior_rewrite_coverage_fraction,min_success_rate,graph_critical_ratio_no_consolidate_bleach,pipeline_failure_rate,avg_oomphlap_final_bit_error_count,failure_count_repair_backlog,threshold_crossing_recovery_rate,hologram_missing_count,avg_correction_rewrite_fraction,ssim_no_consolidate_bleach,correction_spillover_coverage_fraction,oomphlap_channel_failure_stuck_low_rate,no_verify_success,avg_oomphlap_min_threshold_distance,avg_correction_attempts_used,correction_spillover_fraction,avg_hologram_focus_interior_share,failure_reason_no_correction_write,avg_hologram_largest_cluster_share,avg_correction_interior_rewrite_capture_rate,hologram_focus_boundary_share,avg_hologram_damage_fraction,correction_spillover_capture_rate,failure_count_critical_node_backlog,avg_oomphlap_retry_attempts_used,claim,focus_source_missing_rate,oomphlap_failed_channel,avg_correction_spillover_candidate_count,avg_hologram_missing_to_diff_ratio,hologram_damage_cluster_count,oomphlap_retry_success_rate_given_attempt,avg_hologram_largest_cluster_bbox_fraction,no_consolidate_bleach_success_rate,failure_reason_no_consolidate_bleach,hologram_largest_cluster_share,avg_oomphlap_initial_bit_error_count,avg_correction_interior_candidate_count,correction_second_pass_recovery_delta,avg_correction_interior_selected_count,correction_rewrite_recovery_delta,uplift_vs_no_correction_write,oomphlap_verify_trigger_channel_failure,failure_count_verify_missed_oomphlap,ssim_pipeline,avg_hologram_missing_fraction,avg_oomphlap_retry_targeted_success_rate,block_dropout_recovery_delta,failure_reason_no_verify,hologram_threshold_gap_closed_fraction,oomphlap_final_bit_error_count,correction_boundary_rewrite_coverage_fraction,avg_correction_spillover_fraction,correction_rewrite_coverage_fraction,oomphlap_retry_attempts_used,avg_hologram_severity_score,oomphlap_verify_margin_trigger_rate,hologram_threshold_crossed_after_recovery,correction_boundary_rewrite_capture_rate,uplift_vs_modeled_ablations,correction_rewrite_fraction,correction_rewrite_applied,avg_correction_rewrite_coverage_fraction,all_ablations_modeled,phase_noise_success_rate,failure_count_oomphlap_retry_failed,distributed_dropout_threshold_crossing_rate,no_consolidate_bleach_success,correction_spillover_recovery_delta,uplift_vs_no_verify,ssim_no_correction_write,hologram_threshold_gap_after_recovery,corrupt_size,correction_focus_strength,correction_interior_candidate_count,correction_total_recovery_delta,avg_correction_spillover_coverage_fraction,oomphlap_channel_failure_none_rate,correction_spillover_candidate_count,phase_noise_recovery_delta,correction_interior_selected_count,scenario_seed,hologram_focus_source,correction_boundary_rewrite_fraction,correction_first_pass_recovery_delta,oomphlap_verify_flag,block_dropout_success_rate,oomphlap_verify_channel_failure_trigger_rate,hologram_damage_fraction,pipeline_success,correction_spillover_polish_applied,avg_hologram_largest_cluster_fill_ratio,avg_first_pass_recovery_delta,oomphlap_retry_succeeded,oomphlap_retry_targeted_success_rate,correction_used_second_pass,avg_correction_interior_rewrite_coverage_fraction,correction_interior_rewrite_fraction,avg_correction_boundary_rewrite_coverage_fraction,block_dropout_threshold_crossing_rate,avg_hologram_threshold_gap_closed_fraction,hologram_focus_interior_share,hologram_missing_to_diff_ratio,failure_count_verify_missed_hologram,avg_correction_boundary_rewrite_fraction,avg_correction_boundary_selected_count,oomphlap_verify_trigger_margin,avg_correction_focus_strength,avg_hologram_threshold_gap_after_recovery,avg_correction_spillover_capture_rate,avg_failed_oomphlap_retry_draw_minus_success_rate,ssim_no_verify,correction_attempts_used,avg_correction_boundary_candidate_count,hologram_threshold_gap_before_recovery,oomphlap_verify_rate,oomphlap_initial_bit_error_count,hologram_diff_count,avg_hologram_focus_boundary_share,avg_correction_spillover_selected_count,distributed_dropout_success_rate,uplift_vs_no_consolidate_bleach,avg_rewrite_recovery_delta,hologram_geometry_score,oomphlap_retry_draw_minus_success_rate,avg_hologram_missing_count,avg_correction_boundary_rewrite_capture_rate,spillover_usage_rate,distributed_dropout_recovery_delta,avg_spillover_recovery_delta,correction_boundary_selected_count,avg_oomphlap_retry_draw_minus_success_rate,n_trials,failure_detail_full,avg_hologram_geometry_score,failure_count_multi_stage,avg_correction_interior_rewrite_fraction,oomphlap_retry_strategy,no_verify_success_rate,avg_second_pass_recovery_delta,full_success_rate,rewrite_usage_rate,graph_critical_ratio_pipeline,avg_hologram_diff_count,hologram_largest_cluster_bbox_fraction,second_pass_usage_rate,hologram_severity_score,oomphlap_retry_attempt_rate,oomphlap_channel_failure,hologram_missing_fraction,no_correction_write_success,modeled_ablation_count,declared_ablation_count,oomphlap_channel_failure_random_rate,avg_total_recovery_delta,avg_oomphlap_retry_max_attempts,trial,correction_best_stage,oomphlap_retry_max_attempts,phase_noise_threshold_crossing_rate,oomphlap_retry_attempted,oomphlap_min_threshold_distance,oomphlap_retry_candidate_count,oomphlap_retry_targeted_strategy_rate,avg_hologram_threshold_gap_before_recovery,failure_reason_full,failure_count_partial_hologram_correction_failure,hologram_mode,oomphlap_retry_margin_strategy_rate,oomphlap_channel_failure_stuck_high_rate,correction_boundary_candidate_count,no_correction_write_success_rate,correction_spillover_selected_count,oomphlap_retry_generic_strategy_rate
0.258333,0.0,,,0.0,,0.093333,,,,,0,,0.999993,0.0,,1,,,0.0,,none,,,0.333333,,0.0,,,c4_sim4_pipeline,,0,,,11,,,,graph_maintenance_disabled,0.5,,,0.0,,0.0,0.0,1,,0.999993,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.121286,0,,,,,,0,0.0,0.0,0.999993,0.0,26,0.043958,0,0.0,,,0,,0,52,diff_mask,0.059703,0.0,1,,,0.003784,1,0,,,0,0.0,0,,0.226561,,,,0.666667,0.0,,,,0,,,,,0.999993,0,,0.0,,0,62,,,,1.0,,0.439583,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.007324,,0.013452,,stuck_high,0.0,1,,,,,,10,pre,0,,0,0.124206,0,,,none,,phase_noise,,,0,,0,
0.423445,0.0,,,0.0,,0.106667,,,,,0,,0.999486,0.0,,0,,,0.0,,correction_write_disabled_oomphlap,,,0.186603,,0.0,,,c4_sim4_pipeline,,-1,,,28,,,,graph_maintenance_disabled,0.855072,,,0.0,,0.0,1.0,0,,0.999486,,,,verify_disabled_oomphlap,0.0,0,0.0,,0.0,1,,,0,0.0,,0.145029,0,,,,,,0,0.0,1.0,0.999486,0.0,41,0.074717,0,0.0,,,0,,0,53,diff_mask,0.061602,0.0,1,,,0.012634,1,0,,,1,0.660527,0,,0.253995,,,,0.813397,0.0,,,,1,,,,,0.999486,0,,0.0,,1,207,,,,1.0,,0.747166,-0.157165,,,,,,0,,,none,,,,margin_guard_rewrite,,,,,0.0,,0.025513,,0.023312,,none,0.0,0,,,,,,11,pre,1,,1,0.043213,1,,,none,,phase_noise,,,0,,0,
0.396011,1.0,,,0.860927,,0.126667,,,,,1,,1.0,0.0,,0,,,0.0,,correction_write_disabled_hologram,,,0.145299,,0.0,,,c4_sim4_pipeline,,-1,,,12,,,,graph_maintenance_disabled,0.92053,,,0.0,,0.706946,1.0,0,,1.0,,,,verify_disabled_hologram,1.0,0,0.139073,,1.0,0,,,1,1.0,,0.564146,1,,,,,,0,0.0,1.0,0.153067,0.0,28,0.74993,260,0.846932,,,0,,260,54,diff_mask,0.343356,0.139987,0,,,0.018433,1,0,,,0,0.0,0,,1.0,,,,0.854701,0.003311,,,,0,,,,,0.153067,1,,0.796933,,0,302,,,,1.0,,0.7894,0.0,,,,,,42,,,none,,,,none,,,,,0.0,,0.042847,,0.17088,,none,6.1e-05,0,,,,,,12,rewrite,0,,0,0.056016,0,,,none,,block_dropout,,,42,,0,
0.302083,0.0,,,0.0,,0.133333,,,,,0,,0.999957,0.0,,1,,,0.0,,none,,,0.222222,,0.0,,,c4_sim4_pipeline,,0,,,11,,,,graph_maintenance_disabled,0.878788,,,0.0,,0.0,0.0,1,,0.999957,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.143917,0,,,,,,0,0.0,0.0,0.999957,0.0,42,0.073461,0,0.0,,,0,,0,55,diff_mask,0.061513,0.0,1,,,0.006042,1,0,,,0,0.0,0,,0.252732,,,,0.777778,0.0,,,,0,,,,,0.999957,0,,0.0,,0,99,,,,1.0,,0.734612,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.017578,,0.022521,,random,0.0,1,,,,,,13,pre,0,,0,0.173704,0,,,none,,phase_noise,,,0,,0,
1.0,0.0,,,0.0,,0.146667,,,,,0,,0.985436,0.0,,0,,,0.0,,correction_write_disabled_oomphlap,,,0.888889,,0.0,,,c4_sim4_pipeline,,0,,,21,,,,graph_maintenance_disabled,0.195652,,,0.0,,0.0,1.0,1,,0.985436,,,,verify_disabled_oomphlap,0.0,0,0.0,,0.0,2,,,0,0.0,,0.183508,0,,,,,,0,0.0,1.0,0.985436,0.0,31,0.178533,0,0.0,,,0,,0,56,diff_mask,0.101382,0.0,1,,,0.002808,1,0,,,1,0.953394,0,,0.358491,,,,0.111111,0.0,,,,0,,,,,0.985436,0,,0.0,,1,46,,,,1.0,,0.396739,-0.628392,,,,,,0,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.000549,,0.032288,,stuck_high,0.0,0,,,,,,14,pre,2,,1,0.062957,1,,,none,,distributed_dropout,,,0,,0,
0.445753,1.0,,,0.814286,,0.166667,,,,,1,,0.999997,0.0,,0,,,0.0,,multi_stage_failure,,,0.114382,,0.0,,,c4_sim4_pipeline,,1,,,44,,,,graph_maintenance_disabled,0.84127,,,0.0,,0.733928,1.0,1,,0.999997,,,,multi_stage_failure,1.0,0,0.077778,,0.892063,1,,,1,1.0,,0.523741,1,,,,,,0,0.0,1.0,0.266069,0.0,45,0.705271,513,0.733928,,,0,,513,57,diff_mask,0.322345,0.0,1,,,0.038452,1,0,,,1,0.90901,0,,1.0,,,,0.885618,0.001587,,,,0,,,,,0.266069,1,,0.683931,,1,630,,,,1.0,,0.742391,-0.317256,,,,,,49,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.072571,,0.169008,,stuck_high,6.1e-05,0,,,,,,15,rewrite,2,,1,0.123637,1,,,none,,block_dropout,,,49,,0,
1.0,0.0,,,0.0,,0.106667,,,,,0,,0.995769,0.0,,1,,,0.0,,none,,,0.75,,0.0,,,c4_sim4_pipeline,,0,,,34,,,,graph_maintenance_disabled,0.225352,,,0.0,,0.0,0.0,1,,0.995769,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.189813,0,,,,,,0,0.0,0.0,0.995769,0.0,37,0.188556,0,0.0,,,0,,0,58,diff_mask,0.103148,0.0,1,,,0.004333,1,0,,,0,0.0,0,,0.369007,,,,0.25,0.0,,,,0,,,,,0.995769,0,,0.0,,0,71,,,,1.0,,0.419014,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.000977,,0.034293,,stuck_low,0.0,1,,,,,,16,pre,0,,0,0.121477,0,,,none,,distributed_dropout,,,0,,0,
0.348765,0.0,,,0.0,,0.18,,,,,0,,0.999948,0.0,,0,,,0.0,,correction_write_disabled_oomphlap,,,0.209877,,0.0,,,c4_sim4_pipeline,,1,,,10,,,,graph_maintenance_disabled,0.904,,,0.0,,0.0,1.0,1,,0.999948,,,,verify_disabled_oomphlap,0.0,0,0.0,,0.0,1,,,0,0.0,,0.146646,0,,,,,,0,0.0,1.0,0.999948,0.0,43,0.076519,0,0.0,,,0,,0,59,diff_mask,0.061732,0.0,1,,,0.007629,1,0,,,1,0.995,0,,0.255828,,,,0.790123,0.0,,,,0,,,,,0.999948,0,,0.0,,1,125,,,,1.0,,0.765191,-0.014072,,,,,,0,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.019775,,0.02354,,stuck_high,0.0,0,,,,,,17,pre,2,,1,0.141855,1,,,none,,phase_noise,,,0,,0,
1.0,0.0,,,0.0,,0.193333,,,,,0,,0.999999,0.0,,1,,,0.0,,none,,,1.0,,0.0,,,c4_sim4_pipeline,,0,,,18,,,,graph_maintenance_disabled,0.181818,,,0.0,,0.0,0.0,1,,0.999999,,,,none,0.0,0,0.0,,0.0,0,,,0,0.0,,0.270217,0,,,,,,0,0.0,0.0,0.999999,0.0,31,0.367045,0,0.0,,,0,,0,60,diff_mask,0.190513,0.0,1,,,0.002686,1,0,,,0,0.0,0,,0.700558,,,,0.0,0.0,,,,0,,,,,0.999999,0,,0.0,,0,44,,,,1.0,,0.386364,0.0,,,,,,0,,,none,,,,none,,,,,0.0,,0.000488,,0.078129,,stuck_low,0.0,1,,,,,,18,pre,0,,0,0.150612,0,,,none,,block_dropout,,,0,,0,
0.72,0.0,,,0.0,,0.146667,,,,,0,,0.999978,0.0,,0,,,0.0,,correction_write_disabled_oomphlap,,,0.64,,0.0,,,c4_sim4_pipeline,,1,,,34,,,,graph_maintenance_disabled,0.157895,,,0.0,,0.0,1.0,1,,0.999978,,,,verify_disabled_oomphlap,0.0,0,0.0,,0.0,1,,,0,0.0,,0.15773,0,,,,,,0,0.0,1.0,0.999978,0.0,43,0.134289,0,0.0,,,0,,0,61,diff_mask,0.094164,0.0,1,,,0.006958,1,0,,,1,0.96586,0,,0.314132,,,,0.36,0.0,,,,0,,,,,0.999978,0,,0.0,,1,114,,,,1.0,,0.298421,-0.082308,,,,,,0,,,none,,,,targeted_channel_rewrite,,,,,0.0,,0.001526,,0.025051,,stuck_low,0.0,0,,,,,,19,pre,2,,1,0.145168,1,,,none,,distributed_dropout,,,0,,0,
,,26.45,0.0,,1.0,,0.0,0.0,0,0.3,,0.27524,,,0.25,,0.124574,0.45,,0.601157,,0.604194,0.3,,0.014322,,0,0.5,c4_sim4_pipeline,0.0,,8.5,0.000891,,1.0,0.024176,0.0,,,0.45,121.5,,121.5,,0.55,,0,,1.8e-05,0.393233,0.594436,,,,,0.058172,,,0.070737,0.1,,,0.55,,,0.251802,1.0,1.0,0,0.166667,,,0.55,,,,,,,0.085464,0.15,,0.0,,,,,,,1.0,0.85,,,,0.611735,0.024265,,,,0.222304,,0.029498,0.714286,0.3,,,0,0.158277,12.25,,0.305723,0.0,0.085464,0.0,,,12.25,,0.9,,,0.398843,4.25,1.0,1.0,0.152482,,,0.3,0.3,0.15,0.15043,0.068634,,-0.122354,20,,0.606079,0,0.522676,,0.45,0.007801,1.0,0.3,,234.65,,0.15,,0.45,,,,3,3,0.25,0.253182,0.85,,,,0.0,,,,0.4,0.238285,,0,,0.05,0.35,,0.45,,0.0
