uplift_vs_no_correction_write,corrupt_size,trial,failure_count_repair_backlog,hologram_largest_cluster_share,distributed_dropout_threshold_crossing_rate,avg_hologram_damage_fraction,min_success_rate,avg_hologram_largest_cluster_fill_ratio,correction_total_recovery_delta,avg_hologram_severity_score,n_trials,avg_hologram_largest_cluster_share,ssim_no_correction_write,pipeline_success,failure_reason_full,rewrite_usage_rate,no_consolidate_bleach_success,hologram_mode,second_pass_usage_rate,avg_hologram_largest_cluster_bbox_fraction,block_dropout_recovery_delta,correction_used_second_pass,no_correction_write_success_rate,correction_rewrite_coverage_fraction,avg_correction_attempts_used,failure_reason_no_consolidate_bleach,hologram_missing_fraction,failure_count_oomphlap_retry_failed,uplift_vs_no_verify,correction_second_pass_recovery_delta,hologram_severity_score,hologram_geometry_score,failure_count_critical_node_backlog,correction_first_pass_recovery_delta,avg_hologram_missing_fraction,ssim_pipeline,failure_count_verify_missed_hologram,no_verify_success_rate,failure_count_partial_hologram_correction_failure,failure_reason_no_verify,block_dropout_success_rate,distributed_dropout_success_rate,avg_first_pass_recovery_delta,declared_ablation_count,avg_correction_rewrite_fraction,all_ablations_modeled,no_verify_success,avg_correction_focus_strength,correction_attempts_used,correction_rewrite_recovery_delta,distributed_dropout_recovery_delta,hologram_damage_cluster_count,avg_second_pass_recovery_delta,no_consolidate_bleach_success_rate,ssim_no_verify,full_success_rate,hologram_largest_cluster_fill_ratio,hologram_threshold_crossed_after_recovery,pipeline_failure_rate,scenario_seed,no_correction_write_success,correction_rewrite_applied,hologram_damage_fraction,avg_correction_rewrite_coverage_fraction,correction_focus_strength,avg_hologram_geometry_score,failure_count_multi_stage,phase_noise_threshold_crossing_rate,graph_critical_ratio_pipeline,modeled_ablation_count,phase_noise_success_rate,avg_rewrite_recovery_delta,claim,uplift_vs_modeled_ablations,graph_critical_ratio_no_consolidate_bleach,block_dropout_threshold_crossing_rate,uplift_vs_no_consolidate_bleach,hologram_largest_cluster_bbox_fraction,ssim_no_consolidate_bleach,failure_count_verify_missed_oomphlap,threshold_crossing_recovery_rate,phase_noise_recovery_delta,failure_detail_full,avg_total_recovery_delta,correction_rewrite_fraction,avg_hologram_damage_cluster_count,failure_reason_no_correction_write
0.0,26,10,,0.5,,,,,0.0,,,,0.999993,1,none,,0,phase_noise,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.013452,0.439583,,0.0,,0.999993,,,,none,,,,,,,1,,0,0.0,,11,,,0.999993,,0.258333,0,,52,1,0,0.003784,,0.043958,,,,0.0,,,,c4_sim4_pipeline,,0.093333,,1.0,0.007324,0.999993,,,,none,,0.121286,,none
1.0,41,11,,0.855072,,,,,0.0,,,,0.999486,1,none,,0,phase_noise,,,,0,,0.0,,graph_maintenance_disabled,0.0,,1.0,0.0,0.023312,0.747166,,0.0,,0.999486,,,,verify_disabled_oomphlap,,,,,,,0,,0,0.0,,28,,,0.999486,,0.423445,0,,53,0,0,0.012634,,0.074717,,,,0.0,,,,c4_sim4_pipeline,,0.106667,,1.0,0.025513,0.999486,,,,none,,0.145029,,correction_write_disabled_oomphlap
0.0,28,12,,1.0,,,,,0.182043,,,,0.153067,0,partial_hologram_correction_failure,,0,block_dropout,,,,1,,0.003311,,multi_stage_failure,6.1e-05,,0.0,0.051921,0.208722,1.0,,0.130117,,0.33511,,,,verify_disabled_hologram,,,,,,,0,,2,5e-06,,1,,,0.153067,,1.0,0,,54,0,1,0.018433,,0.95,,,,0.0,,,,c4_sim4_pipeline,,0.126667,,0.0,6.1e-05,0.33511,,,,partial_hologram_correction_failure,,0.765,,correction_write_disabled_hologram
0.0,42,13,,0.878788,,,,,0.0,,,,0.999957,1,none,,0,phase_noise,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.022521,0.734612,,0.0,,0.999957,,,,none,,,,,,,1,,0,0.0,,11,,,0.999957,,0.302083,0,,55,1,0,0.006042,,0.073461,,,,0.0,,,,c4_sim4_pipeline,,0.133333,,1.0,0.017578,0.999957,,,,none,,0.143917,,none
0.0,31,14,,0.195652,,,,,0.0,,,,0.985436,0,oomphlap_retry_failed,,0,distributed_dropout,,,,0,,0.0,,multi_stage_failure,0.0,,0.0,0.0,0.032288,0.396739,,0.0,,0.985436,,,,verify_disabled_oomphlap,,,,,,,0,,0,0.0,,21,,,0.985436,,1.0,0,,56,0,0,0.002808,,0.178533,,,,0.0,,,,c4_sim4_pipeline,,0.146667,,0.0,0.000549,0.985436,,,,oomphlap_retry_failed,,0.183508,,correction_write_disabled_oomphlap
0.0,45,15,,1.0,,,,,0.239378,,,,0.266069,0,partial_hologram_correction_failure,,0,block_dropout,,,,1,,0.001587,,multi_stage_failure,6.1e-05,,0.0,0.0,0.213279,1.0,,0.0,,0.505447,,,,multi_stage_failure,,,,,,,0,,2,0.239378,,1,,,0.266069,,1.0,0,,57,0,1,0.038452,,0.95,,,,0.0,,,,c4_sim4_pipeline,,0.166667,,0.0,6.1e-05,0.505447,,,,partial_hologram_correction_failure,,0.765,,multi_stage_failure
0.0,37,16,,0.225352,,,,,0.0,,,,0.995769,1,none,,0,distributed_dropout,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.034293,0.419014,,0.0,,0.995769,,,,none,,,,,,,1,,0,0.0,,34,,,0.995769,,1.0,0,,58,1,0,0.004333,,0.188556,,,,0.0,,,,c4_sim4_pipeline,,0.106667,,1.0,0.000977,0.995769,,,,none,,0.189813,,none
0.0,43,17,,0.904,,,,,0.0,,,,0.999948,0,oomphlap_retry_failed,,0,phase_noise,,,,0,,0.0,,multi_stage_failure,0.0,,0.0,0.0,0.02354,0.765191,,0.0,,0.999948,,,,verify_disabled_oomphlap,,,,,,,0,,0,0.0,,10,,,0.999948,,0.348765,0,,59,0,0,0.007629,,0.076519,,,,0.0,,,,c4_sim4_pipeline,,0.18,,0.0,0.019775,0.999948,,,,oomphlap_retry_failed,,0.146646,,correction_write_disabled_oomphlap
0.0,31,18,,0.181818,,,,,0.0,,,,0.999999,1,none,,0,block_dropout,,,,0,,0.0,,graph_maintenance_disabled,0.0,,0.0,0.0,0.078129,0.386364,,0.0,,0.999999,,,,none,,,,,,,1,,0,0.0,,18,,,0.999999,,1.0,0,,60,1,0,0.002686,,0.367045,,,,0.0,,,,c4_sim4_pipeline,,0.193333,,1.0,0.000488,0.999999,,,,none,,0.270217,,none
0.0,43,19,,0.157895,,,,,0.0,,,,0.999978,0,oomphlap_retry_failed,,0,distributed_dropout,,,,0,,0.0,,multi_stage_failure,0.0,,0.0,0.0,0.025051,0.298421,,0.0,,0.999978,,,,verify_disabled_oomphlap,,,,,,,0,,0,0.0,,34,,,0.999978,,0.72,0,,61,0,0,0.006958,,0.134289,,,,0.0,,,,c4_sim4_pipeline,,0.146667,,0.0,0.001526,0.999978,,,,oomphlap_retry_failed,,0.15773,,correction_write_disabled_oomphlap
0.1,,,0,,0.0,0.014322,0.55,0.746936,,0.082031,20,0.667372,,,,0.3,,,0.3,0.008176,0.115199,,0.45,,0.6,,,3,0.1,,,,0,,1.8e-05,,0,0.45,5,,0.285714,0.5,0.017169,3,0.336853,1.0,,0.368891,,,0.091752,,0.007712,0.0,,0.55,,,0.45,,,,,0.000725,,0.687263,1,0.0,,3,0.857143,0.042964,c4_sim4_pipeline,0.1,,0.0,0.55,,,0,0.0,0.0,,0.067845,,17.45,
